date,accum_confirm,new_confirm,infect_rate,accum_death,new_death,fatal_rate
2020-01-23,0,0,0.0,0,0,0.0
2020-01-24,0,0,0.0,0,0,0.0
2020-01-25,0,0,0.0,0,0,0.0
2020-01-26,0,0,0.0,0,0,0.0
2020-01-27,0,0,0.0,0,0,0.0
2020-01-28,0,0,0.0,0,0,0.0
2020-01-29,0,0,0.0,0,0,0.0
2020-01-30,0,0,0.0,0,0,0.0
2020-01-31,0,0,0.0,0,0,0.0
2020-02-01,1,1,0.0,0,0,0.0
2020-02-02,1,0,0.0,0,0,0.0
2020-02-03,1,0,0.0,0,0,0.0
2020-02-04,1,0,0.0,0,0,0.0
2020-02-05,1,0,0.0,0,0,0.0
2020-02-06,1,0,0.0,0,0,0.0
2020-02-07,1,0,0.0,0,0,0.0
2020-02-08,1,0,0.0,0,0,0.0
2020-02-09,1,0,0.0,0,0,0.0
2020-02-10,1,0,0.0,0,0,0.0
2020-02-11,1,0,0.0,0,0,0.0
2020-02-12,1,0,0.0,0,0,0.0
2020-02-13,1,0,0.0,0,0,0.0
2020-02-14,1,0,0.0,0,0,0.0
2020-02-15,1,0,0.0,0,0,0.0
2020-02-16,1,0,0.0,0,0,0.0
2020-02-17,1,0,0.0,0,0,0.0
2020-02-18,1,0,0.0,0,0,0.0
2020-02-19,1,0,0.0,0,0,0.0
2020-02-20,1,0,0.0,0,0,0.0
2020-02-21,1,0,0.0,0,0,0.0
2020-02-22,1,0,0.0,0,0,0.0
2020-02-23,1,0,0.0,0,0,0.0
2020-02-24,1,0,0.0,0,0,0.0
2020-02-25,1,0,0.0,0,0,0.0
2020-02-26,1,0,0.0,0,0,0.0
2020-02-27,1,0,0.0,0,0,0.0
2020-02-28,1,0,0.0,0,0,0.0
2020-02-29,1,0,0.0,0,0,0.0
2020-03-01,1,0,0.0,0,0,0.0
2020-03-02,1,0,0.0,0,0,0.0
2020-03-03,1,0,0.0,0,0,0.0
2020-03-04,1,0,0.0,0,0,0.0
2020-03-05,1,0,0.0,0,0,0.0
2020-03-06,3,2,0.0,0,0,0.0
2020-03-07,3,0,0.0,0,0,0.0
2020-03-08,8,5,0.0,0,0,0.0
2020-03-09,8,0,0.0,0,0,0.0
2020-03-10,10,2,0.0,0,0,0.0
2020-03-11,20,10,0.0,0,0,0.0
2020-03-12,22,2,0.0,0,0,0.0
2020-03-13,26,4,0.0,0,0,0.0
2020-03-14,27,1,0.0,0,0,0.0
2020-03-15,27,0,0.0,0,0,0.0
2020-03-16,36,9,0.0,0,0,0.0
2020-03-17,42,6,0.01,0,0,0.0
2020-03-18,51,9,0.01,0,0,0.0
2020-03-19,72,21,0.01,0,0,0.0
2020-03-20,86,14,0.01,1,1,1.16
2020-03-21,108,22,0.01,1,0,0.93
2020-03-22,126,18,0.02,1,0,0.79
2020-03-23,154,28,0.02,1,0,0.65
2020-03-24,234,80,0.03,1,0,0.43
2020-03-25,342,108,0.04,1,0,0.29
2020-03-26,448,106,0.06,2,1,0.45
2020-03-27,631,183,0.08,2,0,0.32
2020-03-28,843,212,0.1,3,1,0.36
2020-03-29,940,97,0.12,3,0,0.32
2020-03-30,1115,175,0.14,5,2,0.45
2020-03-31,1373,258,0.17,6,1,0.44
2020-04-01,1624,251,0.2,13,7,0.8
2020-04-02,1896,272,0.24,19,6,1.0
2020-04-03,2183,287,0.27,21,2,0.96
2020-04-04,2429,246,0.3,26,5,1.07
2020-04-05,2658,229,0.33,27,1,1.02
2020-04-06,2929,271,0.36,31,4,1.06
2020-04-07,3245,316,0.4,40,9,1.23
2020-04-08,3600,355,0.45,48,8,1.33
2020-04-09,4041,441,0.5,48,0,1.19
2020-04-10,4534,493,0.56,48,0,1.06
2020-04-11,4926,392,0.61,79,31,1.6
2020-04-12,5359,433,0.67,86,7,1.6
2020-04-13,5579,220,0.69,86,0,1.54
2020-04-14,5872,293,0.73,86,0,1.46
2020-04-15,6279,407,0.78,145,59,2.31
2020-04-16,6820,541,0.85,145,0,2.13
2020-04-17,7272,452,0.9,164,19,2.26
2020-04-18,7696,424,0.96,188,24,2.44
2020-04-19,8074,378,1.0,236,48,2.92
2020-04-20,8376,302,1.0,236,0,2.92
2020-04-21,8669,293,1.08,285,49,3.29
2020-04-22,9060,391,1.13,285,0,3.15
2020-04-23,9739,679,1.21,285,0,2.93
2020-04-24,10724,985,1.33,285,0,2.66
2020-04-25,11218,494,1.4,391,106,3.49
2020-04-26,11543,325,1.44,391,0,3.39
2020-04-27,11883,340,1.48,448,57,3.77
2020-04-28,12140,257,1.51,469,21,3.86
2020-04-29,12539,399,1.56,504,35,4.02
2020-04-30,12890,351,1.6,524,20,4.07
2020-05-01,13295,405,1.65,550,26,4.14
2020-05-02,13606,311,1.69,569,19,4.18
2020-05-03,13777,171,1.71,588,19,4.27
2020-05-04,13941,164,1.73,596,8,4.28
2020-05-05,14173,232,1.76,609,13,4.3
2020-05-06,14476,303,1.8,642,33,4.43
2020-05-07,14732,256,1.83,663,21,4.5
2020-05-08,14944,212,1.86,683,20,4.57
2020-05-09,15119,175,1.88,703,20,4.65
2020-05-10,15279,160,1.9,718,15,4.7
2020-05-11,15356,77,1.91,731,13,4.76
2020-05-12,15454,98,1.92,732,1,4.74
