date,accum_confirm,new_confirm,infect_rate,accum_death,new_death,fatal_rate
2020-01-23,0,0,0.0,0,0,0.0
2020-01-24,0,0,0.0,0,0,0.0
2020-01-25,0,0,0.0,0,0,0.0
2020-01-26,0,0,0.0,0,0,0.0
2020-01-27,0,0,0.0,0,0,0.0
2020-01-28,0,0,0.0,0,0,0.0
2020-01-29,0,0,0.0,0,0,0.0
2020-01-30,0,0,0.0,0,0,0.0
2020-01-31,0,0,0.0,0,0,0.0
2020-02-01,0,0,0.0,0,0,0.0
2020-02-02,0,0,0.0,0,0,0.0
2020-02-03,0,0,0.0,0,0,0.0
2020-02-04,0,0,0.0,0,0,0.0
2020-02-05,0,0,0.0,0,0,0.0
2020-02-06,0,0,0.0,0,0,0.0
2020-02-07,0,0,0.0,0,0,0.0
2020-02-08,0,0,0.0,0,0,0.0
2020-02-09,0,0,0.0,0,0,0.0
2020-02-10,0,0,0.0,0,0,0.0
2020-02-11,0,0,0.0,0,0,0.0
2020-02-12,0,0,0.0,0,0,0.0
2020-02-13,0,0,0.0,0,0,0.0
2020-02-14,0,0,0.0,0,0,0.0
2020-02-15,0,0,0.0,0,0,0.0
2020-02-16,0,0,0.0,0,0,0.0
2020-02-17,0,0,0.0,0,0,0.0
2020-02-18,0,0,0.0,0,0,0.0
2020-02-19,0,0,0.0,0,0,0.0
2020-02-20,0,0,0.0,0,0,0.0
2020-02-21,0,0,0.0,0,0,0.0
2020-02-22,0,0,0.0,0,0,0.0
2020-02-23,0,0,0.0,0,0,0.0
2020-02-24,0,0,0.0,0,0,0.0
2020-02-25,0,0,0.0,0,0,0.0
2020-02-26,0,0,0.0,0,0,0.0
2020-02-27,0,0,0.0,0,0,0.0
2020-02-28,0,0,0.0,0,0,0.0
2020-02-29,0,0,0.0,0,0,0.0
2020-03-01,0,0,0.0,0,0,0.0
2020-03-02,1,1,0.0,0,0,0.0
2020-03-03,1,0,0.0,0,0,0.0
2020-03-04,1,0,0.0,0,0,0.0
2020-03-05,4,3,0.0,0,0,0.0
2020-03-06,11,7,0.0,0,0,0.0
2020-03-07,11,0,0.0,0,0,0.0
2020-03-08,12,1,0.0,0,0,0.0
2020-03-09,19,7,0.0,0,0,0.0
2020-03-10,25,6,0.0,0,0,0.0
2020-03-11,55,30,0.0,0,0,0.0
2020-03-12,95,40,0.0,1,1,1.05
2020-03-13,154,59,0.0,2,1,1.3
2020-03-14,269,115,0.0,5,3,1.86
2020-03-15,269,0,0.0,11,6,4.09
2020-03-16,463,194,0.0,21,10,4.54
2020-03-17,814,351,0.01,32,11,3.93
2020-03-18,1871,1057,0.01,57,25,3.05
2020-03-19,3954,2083,0.03,84,27,2.12
2020-03-20,5151,1197,0.03,134,50,2.6
2020-03-21,7530,2379,0.05,180,46,2.39
2020-03-22,9654,2124,0.06,232,52,2.4
2020-03-23,12305,2651,0.08,328,96,2.67
2020-03-24,14904,2599,0.1,433,105,2.91
